feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket
change_rev_log,313.55267906188965,73.84503333459381,11.4,3.7815340802378077,0.00026608821981245106,0.0005032033353616665,0.004443922516886201,0.0076,0.002023479318187223,0.687002344113593,Log Features,0.004689133945024474,38,37,36,45,False,False,signal
iwylis_vce_Mean,286.65132122039796,117.44117151340745,12.0,4.847679857416329,0.00015841283143934367,0.00039928396135337614,0.00406249452465861,0.008,0.0015374586193337776,0.687002344113593,Original Features,0.004533317714664129,39,39,35,53,False,False,signal
drop_blk_Mean,229.44678077697753,67.70935446305856,10.2,2.387467277262665,0.000534176601638022,0.00047594865072727753,0.0032467976092441925,0.0068000000000000005,0.0034394670208747593,0.687002344113593,Original Features,0.004495421543372984,40,44,38,33,False,False,signal
adjqty,217.89615859985352,126.72082543535853,7.2,3.96232255123179,0.0006574532537135505,0.0013085869511213406,0.003081969997206474,0.0048000000000000004,0.004945003952702776,0.687002344113593,Original Features,0.0042756579833030835,41,46,48,29,False,False,signal
HHstatin_missing_ind,236.06406059265137,89.81786081355084,7.6,2.1908902300206647,0.0005856474374424344,0.0007132549335492822,0.003343651525747774,0.005066666666666666,0.004105395556575883,0.687002344113593,Missing Indicators,0.004171904582996774,42,42,46,31,False,False,signal
service_issue_score,231.6959409713745,56.63098104972165,11.2,1.9235384061671346,0.000143878320810642,0.0004005327968809376,0.0032776991214326567,0.007466666666666666,0.0015846725568463497,0.687002344113593,Engineered Features,0.004109679448315224,43,43,37,55,False,False,signal
vceovr_Mean_capped,257.2815996170044,85.48791681255092,8.2,2.280350850198276,0.0003066248366117167,0.0003840973966774903,0.0036414331810955673,0.0054666666666666665,0.00231949204479126,0.687002344113593,Winsorized Features,0.0038091972975178314,44,41,43,42,False,False,signal
ovrmou_Mean_capped,275.90666103363037,110.76766497677555,7.8,2.280350850198276,0.0001289437777793075,0.0005660428753779308,0.003899999389796964,0.005200000000000001,0.0019240107867789125,0.687002344113593,Winsorized Features,0.003674670058858626,45,40,45,56,False,False,signal
mou_peav_Mean,194.13360080718994,52.04769212595085,8.8,2.5884358211089573,0.0001820147431941847,0.0003498096154451662,0.002751241757284054,0.005866666666666667,0.0015747636058738232,0.687002344113593,Original Features,0.003397557343274848,46,49,41,51,False,False,signal
inonemin_Mean,201.87035961151122,33.27170510155099,9.2,1.0954451150103324,-3.500283522963611e-05,0.0002889608269640266,0.0028608688222754182,0.0061333333333333335,0.0004643487856932499,0.687002344113593,Original Features,0.0031528503137673337,47,47,40,148,False,False,signal
income,155.49279975891113,28.314182496025225,6.4,0.547722557505166,0.00042496775572157625,0.00023596972043124414,0.0022010320609479016,0.004266666666666667,0.002770556746438277,0.687002344113593,Original Features,0.0030794184913509486,48,58,51,39,False,False,signal
uniqsubs_log,199.29817867279053,41.483619011555945,4.8,1.3038404810405297,0.0004722382512983625,0.0006078456012464712,0.0028222112677447537,0.0032,0.003170049714039576,0.687002344113593,Log Features,0.00306408699392811,49,48,58,35,False,False,signal
mouowylisv_Mean,176.70571994781494,76.01756947026334,7.4,2.3021728866442674,0.0002363524778840202,0.00022631619333871348,0.002500593636655166,0.004933333333333333,0.0016302874977718678,0.687002344113593,Original Features,0.0030214048225867887,50,52,47,48,False,False,signal
rev_Mean_log,221.3639413833618,100.83688796599216,7.0,3.1622776601683795,0.00012814371297407146,0.00017710575322512669,0.003129969763212513,0.004666666666666667,0.0009475175251058767,0.687002344113593,Log Features,0.002914717984995019,51,45,49,57,False,False,signal
actvsubs,164.6230209350586,56.90793641747582,6.0,1.4142135623730951,0.00032129269137465646,0.00024188427012594192,0.0023334519822566834,0.004,0.002045495327603478,0.687002344113593,Original Features,0.0027929824366200538,52,54,53,41,False,False,signal
dwllsize,178.6227991104126,55.15651792968476,6.6,2.3021728866442674,0.0001238767006794076,0.0005106524129064921,0.002530081406281681,0.0044,0.0013929702636142683,0.687002344113593,Original Features,0.002774350556631983,53,51,50,58,False,False,signal
rev_Mean,157.52658061981202,72.59344440971854,5.8,1.6431676725154984,0.0002500869237074858,0.00024046563708616953,0.0022295612229656482,0.0038666666666666667,0.0017209851886868578,0.687002344113593,Original Features,0.0026057376927730576,54,57,54,47,False,False,signal
opk_vce_Mean,159.68054027557372,51.13405890209132,7.4,2.701851217221259,-0.00011360920234539938,0.00031502370033601617,0.002262197742884064,0.004933333333333333,0.00041422569382804824,0.687002344113593,Original Features,0.0025365855900151483,55,55,47,166,False,False,signal
avgqty_log,148.3379201889038,83.90274708336247,5.6,3.1304951684997055,8.84738330471239e-05,0.0005323757565414356,0.0021018299232922542,0.003733333333333333,0.001722438348001973,0.687002344113593,Log Features,0.0025192005348758533,56,63,55,70,False,False,signal
totrev,164.7453004837036,37.18931061267411,7.4,1.51657508881031,-3.2469296679697265e-05,0.00014501090296882032,0.0023335649831331424,0.004933333333333333,0.000273294925140647,0.687002344113593,Original Features,0.002513397747202374,57,53,47,147,False,False,signal
roam_Mean,120.33877983093262,54.51771618640981,6.0,2.1213203435596424,0.00026888844663084386,0.00021689574736671286,0.0017041945944564116,0.004,0.0017350944631258872,0.687002344113593,Original Features,0.0024797630191940997,58,71,53,44,False,False,signal
peak_vce_Mean,184.03072147369386,117.25408801444286,6.4,2.792848008753788,-0.00012487678168599342,0.00029328440991208235,0.002607224968778147,0.004266666666666667,0.00036188884537444,0.687002344113593,Original Features,0.0024119268269397515,59,50,51,168,False,False,signal
mou_opkv_Mean,151.04694004058837,21.66311245491031,6.2,0.8366600265340755,-0.0001308772677253378,0.0005031063868314382,0.0021389745455329076,0.0041333333333333335,0.0008613999403929162,0.687002344113593,Original Features,0.002377902606419719,60,61,52,169,False,False,signal
dwlltype,138.32405853271484,63.31357916314133,4.8,2.16794833886788,0.00021375064713572792,0.00037057514054416983,0.0019620418005174144,0.0032,0.0016808453987231429,0.687002344113593,Original Features,0.0022809623997468525,61,66,58,49,False,False,signal
avg3mou,152.13724117279054,93.35911556625551,5.8,3.1144823004794873,-2.8668988854896254e-06,0.0002891862578751286,0.0021605264941469164,0.0038666666666666667,0.0006629527857176222,0.687002344113593,Original Features,0.0022300486488437354,62,60,54,123,False,False,signal
marital,153.0985990524292,50.86471560214299,5.2,1.4832396974191326,0.00011607606882823398,0.0001845838784972408,0.0021657572438031824,0.0034666666666666665,0.0008732009249258878,0.687002344113593,Original Features,0.0021685416117985788,63,59,57,59,False,False,signal
unan_vce_Mean,89.05993957519532,13.314544298608569,4.8,0.8366600265340756,0.00027222204998606316,0.0002894684714710882,0.001261924555809405,0.0032,0.0018939217064233027,0.687002344113593,Original Features,0.002118615420744236,64,80,58,43,False,False,signal
custcare_Mean,146.38427963256837,62.08941801071465,5.4,2.5099800796022267,-9.694118556936951e-05,0.0003971760998340303,0.0020713013584773956,0.0036000000000000003,0.0006692946951626529,0.687002344113593,Original Features,0.002113532017880016,65,64,56,164,False,False,signal
change_rev_missing_ind,157.79200077056885,26.358480532209047,4.4,1.1401754250991378,4.687046317419046e-05,0.0003293524703112782,0.002234358112044625,0.0029333333333333334,0.0009348736245687906,0.687002344113593,Missing Indicators,0.0020341883566489167,66,56,60,85,False,False,signal
recv_vce_Mean,124.06389961242675,55.2147117206207,5.8,2.6832815729997477,-8.640699896691472e-05,0.00022411751144298458,0.00175565430947878,0.0038666666666666667,0.0004039122338428135,0.687002344113593,Original Features,0.00200874440332942,67,68,54,160,False,False,signal
cc_mou_Mean,132.83878002166747,29.06274908519468,5.4,1.6733200530681511,-9.647448109965465e-05,0.0002811398495591198,0.0018830147975120938,0.0036000000000000003,0.0004700555780557638,0.687002344113593,Original Features,0.0019843567918559524,68,67,56,163,False,False,signal
avg3rev,149.91658039093016,164.13201647532765,3.8,3.0331501776206204,9.067401126157856e-05,0.0002834549034715069,0.0021177591541425723,0.002533333333333333,0.0009963678118913798,0.687002344113593,Original Features,0.001882486766455762,69,62,61,67,False,False,signal
avg3qty,107.98035945892335,45.58430644712441,4.6,1.6733200530681511,0.00010027478892455921,0.0002015746179824719,0.0015306052789316603,0.0030666666666666668,0.0008869692368163368,0.687002344113593,Original Features,0.0018280803941382213,70,73,59,62,False,False,signal
revenue_gap,95.99132061004639,39.473865757123214,5.4,2.073644135332772,8.40068045507477e-06,0.00017916302291281526,0.0013583379520743625,0.0036000000000000003,0.000508202555312123,0.687002344113593,Engineered Features,0.0018221801691288286,71,79,56,108,False,False,signal
adjrev,122.14695987701415,40.83310189246245,5.4,1.949358868961793,-4.873728105310911e-05,0.0001119121479513973,0.0017303156894023473,0.0036,0.00011399138963958709,0.687002344113593,Original Features,0.0018147690263473114,72,70,56,153,False,False,signal
owylis_vce_Mean,97.45334014892578,61.183241720825066,4.6,2.9664793948382653,9.83412989785289e-05,9.853772889712702e-05,0.0013774148898445635,0.0030666666666666668,0.0006120179184067878,0.687002344113593,Original Features,0.0016853664916393393,73,78,59,64,False,False,signal
avgrev_log,123.76737957000732,73.00410196120757,3.4,1.6733200530681511,-8.267336320903307e-06,0.00034011482568088735,0.0017569264700824136,0.002266666666666667,0.0007877244619010437,0.687002344113593,Log Features,0.0016037725328833746,74,69,62,131,False,False,signal
actvsubs_log,74.50440082550048,29.360848511039865,3.0,1.224744871391589,0.00019961616890967385,0.0002449600158628693,0.0010547148962414999,0.002,0.001520701014887584,0.687002344113593,Log Features,0.001525138637043028,75,82,64,50,False,False,signal
HHstatin,107.41642036437989,44.20346722305796,2.2,1.0954451150103321,0.00015201231299735165,0.00033796877407247557,0.0015196292147834215,0.0014666666666666667,0.0014844000407841294,0.687002344113593,Original Features,0.0014902319740780726,76,74,67,54,False,False,signal
phones,145.10455951690673,63.19802066904317,3.4,1.6733200530681511,-0.00013581100069106621,0.00016671126737820413,0.00205652807122324,0.002266666666666667,0.0001348346901337234,0.687002344113593,Original Features,0.00148600980934121,77,65,62,170,False,False,signal
drop_vce_Mean_log,100.35521812438965,20.435515709624923,3.0,0.7071067811865476,8.420682075248968e-05,0.00026742393840075367,0.0014222715258283137,0.002,0.0009347963592394582,0.687002344113593,Log Features,0.0014523559616892573,78,77,64,72,False,False,signal
support_intensity,111.89387912750244,48.69562728001583,3.4,2.5099800796022267,9.3340893945489e-06,0.00010380307714805567,0.0015868703132192249,0.002266666666666667,0.0002784944762580139,0.687002344113593,Engineered Features,0.001377343818714635,79,72,62,105,False,False,signal
mou_cvce_Mean_log,101.6140007019043,81.3967536655527,3.2,2.280350850198276,-2.4135288291689724e-05,0.00015175633845820294,0.0014396880585370348,0.0021333333333333334,0.0002666593942315772,0.687002344113593,Log Features,0.0012798935953673152,80,76,63,141,False,False,signal
ovrrev_Mean_log,103.52762126922607,33.15122493721651,3.0,1.5811388300841898,-0.00011140902413096696,0.00019632099334778393,0.0014677675272343955,0.002,0.00021416318303672544,0.687002344113593,Log Features,0.0012273102367570403,81,75,64,165,False,False,signal
avgmou_log,71.54223976135253,11.789676441361044,3.0,0.7071067811865476,8.420682075246747e-05,0.00011924183172595699,0.0010138080283082739,0.002,0.0006034507417076427,0.687002344113593,Log Features,0.0012057529233386389,82,83,64,73,False,False,signal
avg6qty,68.13380012512206,22.096614622976993,3.8,1.3038404810405297,-0.00011814290290849497,0.00016253027516256293,0.0009657331765581534,0.002533333333333333,7.649446019051807e-05,0.687002344113593,Original Features,0.0011918536566940016,83,87,61,167,False,False,signal
