feature,gain_importance_mean,gain_importance_std,split_importance_mean,split_importance_std,perm_importance_mean,perm_importance_std,gain_importance_norm_mean,split_importance_norm_mean,perm_importance_norm_mean,validation_roc_auc_mean,feature_family,consolidated_score,consolidated_rank,gain_rank,split_rank,perm_rank,is_zero_importance,is_near_zero_importance,importance_bucket,in_low_value_tail,in_cluster,cluster_theme,cluster_role,selection_action,selection_reason,selected
service_issue_score,231.6959409713745,56.63098104972165,11.2,1.9235384061671343,0.0001438783208106,0.0004005327968809,0.0032776991214326,0.0074666666666666,0.0015846725568463,0.687002344113593,Engineered Features,0.0041096794483152,43,43,37,55,False,False,signal,False,False,none,none,keep,retained_signal,True
vceovr_Mean_capped,257.2815996170044,85.48791681255092,8.2,2.280350850198276,0.0003066248366117,0.0003840973966774,0.0036414331810955,0.0054666666666666,0.0023194920447912,0.687002344113593,Winsorized Features,0.0038091972975178,44,41,43,42,False,False,signal,False,False,none,none,keep,retained_signal,True
ovrmou_Mean_capped,275.90666103363037,110.76766497677556,7.8,2.280350850198276,0.0001289437777793,0.0005660428753779,0.0038999993897969,0.0052,0.0019240107867789,0.687002344113593,Winsorized Features,0.0036746700588586,45,40,45,56,False,False,signal,False,False,none,none,keep,retained_signal,True
mou_peav_Mean,194.1336008071899,52.04769212595085,8.8,2.5884358211089573,0.0001820147431941,0.0003498096154451,0.002751241757284,0.0058666666666666,0.0015747636058738,0.687002344113593,Original Features,0.0033975573432748,46,49,41,51,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
inonemin_Mean,201.8703596115112,33.27170510155099,9.2,1.0954451150103324,-3.500283522963611e-05,0.000288960826964,0.0028608688222754,0.0061333333333333,0.0004643487856932,0.687002344113593,Original Features,0.0031528503137673,47,47,40,148,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
income,155.49279975891113,28.314182496025225,6.4,0.547722557505166,0.0004249677557215,0.0002359697204312,0.0022010320609479,0.0042666666666666,0.0027705567464382,0.687002344113593,Original Features,0.0030794184913509,48,58,51,39,False,False,signal,False,False,none,none,keep,retained_signal,True
uniqsubs_log,199.29817867279053,41.483619011555945,4.8,1.3038404810405295,0.0004722382512983,0.0006078456012464,0.0028222112677447,0.0032,0.0031700497140395,0.687002344113593,Log Features,0.0030640869939281,49,48,58,35,False,False,signal,False,False,none,none,keep,retained_signal,True
mouowylisv_Mean,176.70571994781494,76.01756947026334,7.4,2.302172886644267,0.000236352477884,0.0002263161933387,0.0025005936366551,0.0049333333333333,0.0016302874977718,0.687002344113593,Original Features,0.0030214048225867,50,52,47,48,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
rev_Mean_log,221.3639413833618,100.83688796599216,7.0,3.1622776601683795,0.000128143712974,0.0001771057532251,0.0031299697632125,0.0046666666666666,0.0009475175251058,0.687002344113593,Log Features,0.002914717984995,51,45,49,57,False,False,signal,False,False,none,none,keep,retained_signal,True
actvsubs,164.6230209350586,56.90793641747582,6.0,1.4142135623730951,0.0003212926913746,0.0002418842701259,0.0023334519822566,0.004,0.0020454953276034,0.687002344113593,Original Features,0.00279298243662,52,54,53,41,False,False,signal,False,False,none,none,keep,retained_signal,True
dwllsize,178.6227991104126,55.15651792968476,6.6,2.302172886644267,0.0001238767006794,0.0005106524129064,0.0025300814062816,0.0044,0.0013929702636142,0.687002344113593,Original Features,0.0027743505566319,53,51,50,58,False,False,signal,False,False,none,none,keep,retained_signal,True
rev_Mean,157.52658061981202,72.59344440971854,5.8,1.6431676725154984,0.0002500869237074,0.0002404656370861,0.0022295612229656,0.0038666666666666,0.0017209851886868,0.687002344113593,Original Features,0.002605737692773,54,57,54,47,False,False,signal,False,True,revenue_aux,redundant,drop,cluster_redundant,False
opk_vce_Mean,159.68054027557372,51.13405890209132,7.4,2.701851217221259,-0.0001136092023453,0.000315023700336,0.002262197742884,0.0049333333333333,0.000414225693828,0.687002344113593,Original Features,0.0025365855900151,55,55,47,166,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
avgqty_log,148.3379201889038,83.90274708336247,5.6,3.1304951684997055,8.84738330471239e-05,0.0005323757565414,0.0021018299232922,0.0037333333333333,0.0017224383480019,0.687002344113593,Log Features,0.0025192005348758,56,63,55,70,False,False,signal,False,False,none,none,keep,retained_signal,True
totrev,164.7453004837036,37.18931061267411,7.4,1.51657508881031,-3.2469296679697265e-05,0.0001450109029688,0.0023335649831331,0.0049333333333333,0.0002732949251406,0.687002344113593,Original Features,0.0025133977472023,57,53,47,147,False,False,signal,False,True,revenue,redundant,drop,cluster_redundant,False
roam_Mean,120.33877983093262,54.51771618640981,6.0,2.1213203435596424,0.0002688884466308,0.0002168957473667,0.0017041945944564,0.004,0.0017350944631258,0.687002344113593,Original Features,0.002479763019194,58,71,53,44,False,False,signal,False,False,none,none,keep,retained_signal,True
peak_vce_Mean,184.03072147369383,117.25408801444286,6.4,2.792848008753788,-0.0001248767816859,0.000293284409912,0.0026072249687781,0.0042666666666666,0.0003618888453744,0.687002344113593,Original Features,0.0024119268269397,59,50,51,168,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
mou_opkv_Mean,151.04694004058837,21.66311245491031,6.2,0.8366600265340755,-0.0001308772677253,0.0005031063868314,0.0021389745455329,0.0041333333333333,0.0008613999403929,0.687002344113593,Original Features,0.0023779026064197,60,61,52,169,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
dwlltype,138.32405853271484,63.31357916314133,4.8,2.16794833886788,0.0002137506471357,0.0003705751405441,0.0019620418005174,0.0032,0.0016808453987231,0.687002344113593,Original Features,0.0022809623997468,61,66,58,49,False,False,signal,False,False,none,none,keep,retained_signal,True
avg3mou,152.13724117279054,93.35911556625553,5.8,3.1144823004794873,-2.8668988854896254e-06,0.0002891862578751,0.0021605264941469,0.0038666666666666,0.0006629527857176,0.687002344113593,Original Features,0.0022300486488437,62,60,54,123,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
marital,153.0985990524292,50.86471560214299,5.2,1.4832396974191326,0.0001160760688282,0.0001845838784972,0.0021657572438031,0.0034666666666666,0.0008732009249258,0.687002344113593,Original Features,0.0021685416117985,63,59,57,59,False,False,signal,False,False,none,none,keep,retained_signal,True
unan_vce_Mean,89.05993957519532,13.314544298608569,4.8,0.8366600265340756,0.000272222049986,0.000289468471471,0.0012619245558094,0.0032,0.0018939217064233,0.687002344113593,Original Features,0.0021186154207442,64,80,58,43,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
custcare_Mean,146.38427963256837,62.08941801071465,5.4,2.5099800796022267,-9.694118556936951e-05,0.000397176099834,0.0020713013584773,0.0036,0.0006692946951626,0.687002344113593,Original Features,0.00211353201788,65,64,56,164,False,False,signal,False,True,support,representative,keep,cluster_representative,True
change_rev_missing_ind,157.79200077056885,26.358480532209047,4.4,1.1401754250991378,4.687046317419046e-05,0.0003293524703112,0.0022343581120446,0.0029333333333333,0.0009348736245687,0.687002344113593,Missing Indicators,0.0020341883566489,66,56,60,85,False,False,signal,False,False,none,none,keep,retained_signal,True
recv_vce_Mean,124.06389961242677,55.2147117206207,5.8,2.6832815729997477,-8.640699896691472e-05,0.0002241175114429,0.0017556543094787,0.0038666666666666,0.0004039122338428,0.687002344113593,Original Features,0.0020087444033294,67,68,54,160,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
cc_mou_Mean,132.83878002166747,29.06274908519468,5.4,1.6733200530681511,-9.647448109965465e-05,0.0002811398495591,0.001883014797512,0.0036,0.0004700555780557,0.687002344113593,Original Features,0.0019843567918559,68,67,56,163,False,False,signal,False,True,support,redundant,drop,cluster_redundant,False
avg3rev,149.91658039093016,164.13201647532765,3.8,3.0331501776206204,9.067401126157856e-05,0.0002834549034715,0.0021177591541425,0.0025333333333333,0.0009963678118913,0.687002344113593,Original Features,0.0018824867664557,69,62,61,67,False,False,signal,False,True,revenue_aux,redundant,drop,cluster_redundant,False
avg3qty,107.98035945892336,45.58430644712441,4.6,1.6733200530681511,0.0001002747889245,0.0002015746179824,0.0015306052789316,0.0030666666666666,0.0008869692368163,0.687002344113593,Original Features,0.0018280803941382,70,73,59,62,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
revenue_gap,95.9913206100464,39.473865757123214,5.4,2.073644135332772,8.40068045507477e-06,0.0001791630229128,0.0013583379520743,0.0036,0.0005082025553121,0.687002344113593,Engineered Features,0.0018221801691288,71,79,56,108,False,False,signal,False,False,none,none,keep,retained_signal,True
adjrev,122.14695987701415,40.83310189246245,5.4,1.949358868961793,-4.873728105310911e-05,0.0001119121479513,0.0017303156894023,0.0036,0.0001139913896395,0.687002344113593,Original Features,0.0018147690263473,72,70,56,153,False,False,signal,False,True,revenue,redundant,drop,cluster_redundant,False
owylis_vce_Mean,97.45334014892578,61.183241720825066,4.6,2.9664793948382653,9.83412989785289e-05,9.853772889712702e-05,0.0013774148898445,0.0030666666666666,0.0006120179184067,0.687002344113593,Original Features,0.0016853664916393,73,78,59,64,False,False,signal,False,True,usage,redundant,drop,cluster_redundant,False
avgrev_log,123.76737957000732,73.00410196120757,3.4,1.6733200530681511,-8.267336320903307e-06,0.0003401148256808,0.0017569264700824,0.0022666666666666,0.000787724461901,0.687002344113593,Log Features,0.0016037725328833,74,69,62,131,False,False,signal,False,False,none,none,keep,retained_signal,True
actvsubs_log,74.50440082550048,29.360848511039865,3.0,1.224744871391589,0.0001996161689096,0.0002449600158628,0.0010547148962414,0.002,0.0015207010148875,0.687002344113593,Log Features,0.001525138637043,75,82,64,50,False,False,signal,False,False,none,none,keep,retained_signal,True
HHstatin,107.41642036437987,44.20346722305796,2.2,1.095445115010332,0.0001520123129973,0.0003379687740724,0.0015196292147834,0.0014666666666666,0.0014844000407841,0.687002344113593,Original Features,0.001490231974078,76,74,67,54,False,False,signal,False,False,none,none,keep,retained_signal,True
phones,145.10455951690673,63.19802066904317,3.4,1.6733200530681511,-0.000135811000691,0.0001667112673782,0.0020565280712232,0.0022666666666666,0.0001348346901337,0.687002344113593,Original Features,0.0014860098093412,77,65,62,170,False,False,signal,False,True,device,representative,keep,cluster_representative,True
