trial_number,value,train_roc_auc_mean,validation_roc_auc_mean,roc_auc_gap_mean,accuracy_mean_validation,precision_mean_validation,recall_mean_validation,f1_mean_validation,fold_1_train_roc_auc,fold_1_validation_roc_auc,fold_2_train_roc_auc,fold_2_validation_roc_auc,fold_3_train_roc_auc,fold_3_validation_roc_auc,fold_4_train_roc_auc,fold_4_validation_roc_auc,fold_5_train_roc_auc,fold_5_validation_roc_auc,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,min_split_gain
80,0.6939626162484891,0.7910349650074356,0.6939626162484891,0.0970723487589465,0.63717,0.6310524983646804,0.6450910349418472,0.6379851695070298,0.7916245637111712,0.6915681947966642,0.7906057033832891,0.6976218429972965,0.7914480527415381,0.6920202400473893,0.7910492640842814,0.6940958107795868,0.7904472411168979,0.6945069926215087,0.119042651563975,105,12,34,0.6887607467797762,0.6000003566119071,0,0.0017686061900509,0.1140138045930116,0.4745610558111203
52,0.6937453849019827,0.7566826585919697,0.6937453849019827,0.062937273689987,0.6394399999999999,0.6330696930836331,0.6482386390328709,0.6405528777545563,0.7569168574460965,0.6905115848218553,0.7560751120061714,0.6973187700577057,0.7569504124534534,0.6907134388487045,0.7571969019503058,0.6952144824095177,0.756274009103822,0.69496864837213,0.1152027470935238,64,12,23,0.7709234199394595,0.9141328390008786,1,0.0004256518309068,0.0985190459628661,0.4557659800605743
33,0.6935180803146085,0.764227496672893,0.6935180803146085,0.0707094163582845,0.63784,0.6311710030694957,0.647855279592666,0.6393988801504196,0.7644842470148228,0.6903410919172472,0.7641055262905903,0.6974461396983138,0.7645486429429753,0.6908997932799916,0.764841684753989,0.6942002588680467,0.7631573823620872,0.6947031178094432,0.0996392010661895,82,12,25,0.7184573640438172,0.6386691933821214,0,6.190077575984334e-05,0.0049202491713969,0.4104372810064159
86,0.6934539357310104,0.8171096839096634,0.6934539357310104,0.1236557481786529,0.637,0.6317362212544488,0.641620593920946,0.6366309973764622,0.8166263007355481,0.6918479459710305,0.8161781393518414,0.6948428326540036,0.8172203228059648,0.6923481854434808,0.8176930896271747,0.6927476363769611,0.817830567027788,0.6954830782095767,0.1744163383523115,121,12,42,0.6275787346744324,0.6750830499180435,0,0.0051514403973324,5.375191331362986,0.4986315792777495
51,0.6934509288357664,0.7768060948196156,0.6934509288357664,0.0833551659838491,0.63764,0.6317507629609002,0.6446471814878222,0.6381170445620046,0.7758625550266511,0.6913257364449916,0.7759546308665483,0.6972575854266411,0.7772523805728876,0.690482920997402,0.7782166600255332,0.6944199758829324,0.7767442476064573,0.6937684254268651,0.161514877581378,65,12,17,0.8096784274965965,0.9022875670648488,0,4.079267139684945e-05,0.052070274028121,0.4578086022229518
73,0.6933690649385091,0.7992675393552157,0.6933690649385091,0.1058984744167065,0.63627,0.6305480230232907,0.6426900739419227,0.6365510847211207,0.7990169610553868,0.6914271041175106,0.7986633110116124,0.695892552107269,0.7993740345745222,0.6922687992958174,0.7998447343624746,0.6948667504811572,0.7994386557720825,0.6923901186907915,0.1395631948293762,110,12,28,0.7330979602482803,0.6494624790292732,0,0.0101072614537667,3.5151260684868753,0.4351613102808871
96,0.693348004564092,0.8000759546453423,0.693348004564092,0.1067279500812503,0.6373800000000001,0.6317701353246806,0.6433759889407498,0.6375086636847673,0.8008823315650819,0.6914571663929243,0.7998887381827705,0.6979867806194251,0.800482630701413,0.691602657709813,0.8003858898571921,0.6933714346839019,0.7987401829202547,0.6923219834143957,0.1435532739006884,108,12,33,0.776620665018309,0.6229423438922679,0,0.005670854178423,3.703993387514432,0.4544944754624586
5,0.6933473033903197,0.7405681705447968,0.6933473033903197,0.0472208671544771,0.63745,0.6311907720276446,0.6458576683327353,0.6384335188296051,0.7394096203153953,0.6894542547925453,0.740410516134999,0.6974739017996272,0.7403856845289718,0.6908957329655608,0.7412319783858452,0.6942731245107621,0.7414030533587728,0.6946395028831033,0.1516251367757924,37,-1,44,0.9022204554172196,0.6915192661966489,0,4.052873758065144e-06,2.824825241715838e-07,0.4648488261712865
93,0.6933365250183344,0.7821955650944055,0.6933365250183344,0.088859040076071,0.6384200000000001,0.6322092587157674,0.6466446665489354,0.6393373801206068,0.782694495465335,0.6908333191739282,0.7821723002559774,0.6976300036149736,0.7824554886233477,0.6907454913308486,0.7817372067548922,0.69429284103761,0.7819183343724754,0.6931809699343117,0.1307044310676735,90,12,36,0.8003720467779325,0.6457705107286913,0,0.0003310997607221,2.8041916185568536,0.4884993255608
61,0.6933085142647052,0.7615681803408412,0.6933085142647052,0.0682596660761359,0.63809,0.6315260063032587,0.6477342488202649,0.6395124938667098,0.7615249441466524,0.6904102771538778,0.7616081093004213,0.6968658357751099,0.7624884477092778,0.6906966875514841,0.7613106497216193,0.6948012954123168,0.7609087508262352,0.6937684754307374,0.1031354736414065,78,12,39,0.6993835957071035,0.6266208396848383,0,0.0004170143630249,0.38109483180164,0.4349908380959232
31,0.693301669206735,0.7598945917213509,0.693301669206735,0.0665929225146159,0.6374500000000001,0.6308194820585806,0.6473709631339057,0.6389739970029803,0.7598921684219011,0.6901590181360827,0.7591283421067974,0.6986253489526623,0.760424716892387,0.6904029448040456,0.7612065764410089,0.6943828930112348,0.7588211547446602,0.6929381411296491,0.0929214738717151,81,12,37,0.7934951165729756,0.7588740320118061,0,4.170366177854478e-05,0.0146826085870471,0.42225113074712
45,0.6932954966295191,0.7797984493769048,0.6932954966295191,0.0865029527473857,0.63755,0.6314676775821437,0.6453331534796637,0.6383110507591369,0.7795202547968195,0.6914084427050283,0.7796309508204825,0.6976593858389142,0.7800067623927457,0.6906099608353671,0.780029760091007,0.6934154280907513,0.7798045187834693,0.6933842656775341,0.1274425934722562,82,12,11,0.7796219752166763,0.937309269904906,1,5.095267858228912e-06,0.0012624679420086,0.4956063303076644
42,0.6932534669824977,0.7765515560721982,0.6932534669824977,0.0832980890897004,0.6372199999999999,0.6315288856355455,0.6434768910017556,0.6374374833715721,0.7759153472166826,0.6898454444016868,0.7765090341809502,0.6974859427110038,0.7769333105190867,0.6917166565378823,0.7771651242048219,0.694488346177528,0.7762349642394496,0.6927309450843874,0.1621880047097948,64,12,15,0.8407810409394931,0.9000590902853445,0,0.0002140633221729,0.0042439858642779,0.4469629253056659
92,0.6932128134730428,0.7760606011651685,0.6932128134730428,0.0828477876921257,0.63821,0.6318989149584376,0.6468060076662117,0.6392587289135615,0.7768073534017166,0.689296212830349,0.7755508972788098,0.6962101661474758,0.7758098779437802,0.6927306150588303,0.7760854609181016,0.694536984944114,0.7760494162834342,0.6932900883844445,0.0959277993550712,115,12,42,0.7280915891813755,0.6123168434407585,0,0.3770447224566561,5.196815571324076,0.4636604455209756
